FECHA VENTA,ANIO VENTA,MES VENTA,DIA VENTA,CODIGO MUNICIPIO_DANE,MUNICIPIO INSTALACION,LATITUD,LONGITUD,EDS ACTIVAS,NUMERO DE VENTAS,VEHICULOS ATENDIDOS,CANTIDAD VOLUMEN SUMINISTRADO
08/17/2023 12:00:00 AM,2023,8,17,15152,DUITAMA,58906025887,-730670928955,2,199,154,2359.87
08/09/2023 12:00:00 AM,2023,8,9,15150,TUNJA,55184726715,-733780212402,2,223,190,2608.61
08/29/2023 12:00:00 AM,2023,8,29,15152,DUITAMA,58906025887,-730670928955,2,174,140,2237.55
08/10/2023 12:00:00 AM,2023,8,10,15157,SOGAMOSO,56466722488,-728709564209,1,209,153,2233.34
08/11/2023 12:00:00 AM,2023,8,11,15152,DUITAMA,58906025887,-730670928955,2,202,154,2838.68
08/23/2023 12:00:00 AM,2023,8,23,15151,CHIQUINQUIRA,56224880219,-738042449951,2,357,271,3262.66
08/15/2023 12:00:00 AM,2023,8,15,15152,DUITAMA,58906025887,-730670928955,2,177,145,2223.73
08/07/2023 12:00:00 AM,2023,8,7,15152,DUITAMA,58906025887,-730670928955,2,170,127,1605.34
08/09/2023 12:00:00 AM,2023,8,9,15157,SOGAMOSO,56466722488,-728709564209,1,206,149,1864.72
08/09/2023 12:00:00 AM,2023,8,9,15152,DUITAMA,58906025887,-730670928955,2,188,132,1932.38
08/30/2023 12:00:00 AM,2023,8,30,15157,SOGAMOSO,56466722488,-728709564209,1,209,152,1792.78
08/31/2023 12:00:00 AM,2023,8,31,15157,SOGAMOSO,56466722488,-728709564209,1,201,147,1795.57
08/05/2023 12:00:00 AM,2023,8,5,15151,CHIQUINQUIRA,56224880219,-738042449951,1,379,265,3089.48
08/11/2023 12:00:00 AM,2023,8,11,15150,TUNJA,55184726715,-733780212402,2,465,334,5187.58
08/26/2023 12:00:00 AM,2023,8,26,15151,CHIQUINQUIRA,56224880219,-738042449951,2,370,264,2983.74
08/02/2023 12:00:00 AM,2023,8,2,15151,CHIQUINQUIRA,56224880219,-738042449951,2,350,254,3130.36
08/24/2023 12:00:00 AM,2023,8,24,15157,SOGAMOSO,56466722488,-728709564209,1,244,173,2159.11
08/11/2023 12:00:00 AM,2023,8,11,15157,SOGAMOSO,56466722488,-728709564209,1,219,151,1984.01
08/28/2023 12:00:00 AM,2023,8,28,15157,SOGAMOSO,56466722488,-728709564209,1,226,169,2087.98
08/26/2023 12:00:00 AM,2023,8,26,15150,TUNJA,55184726715,-733780212402,2,425,303,4712.96
08/30/2023 12:00:00 AM,2023,8,30,15150,TUNJA,55184726715,-733780212402,2,388,297,4173.74
08/07/2023 12:00:00 AM,2023,8,7,15151,CHIQUINQUIRA,56224880219,-738042449951,1,293,207,2525.11
08/04/2023 12:00:00 AM,2023,8,4,15151,CHIQUINQUIRA,56224880219,-738042449951,2,387,272,3287.4
08/25/2023 12:00:00 AM,2023,8,25,15152,DUITAMA,58906025887,-730670928955,2,233,179,2490.65
08/08/2023 12:00:00 AM,2023,8,8,15150,TUNJA,55184726715,-733780212402,2,439,321,4974.67
08/13/2023 12:00:00 AM,2023,8,13,15152,DUITAMA,58906025887,-730670928955,2,154,115,1790.67
08/28/2023 12:00:00 AM,2023,8,28,15150,TUNJA,55184726715,-733780212402,2,412,298,4660.9
08/26/2023 12:00:00 AM,2023,8,26,15157,SOGAMOSO,56466722488,-728709564209,1,240,156,2057.8
08/10/2023 12:00:00 AM,2023,8,10,15150,TUNJA,55184726715,-733780212402,2,409,298,4746.88
08/29/2023 12:00:00 AM,2023,8,29,15157,SOGAMOSO,56466722488,-728709564209,1,208,149,1830.81
08/24/2023 12:00:00 AM,2023,8,24,15152,DUITAMA,58906025887,-730670928955,2,187,146,2278.13
08/12/2023 12:00:00 AM,2023,8,12,15157,SOGAMOSO,56466722488,-728709564209,1,232,151,1805.43
08/29/2023 12:00:00 AM,2023,8,29,15151,CHIQUINQUIRA,56224880219,-738042449951,2,348,254,2843.24
08/07/2023 12:00:00 AM,2023,8,7,15157,SOGAMOSO,56466722488,-728709564209,1,220,159,2491.52
08/27/2023 12:00:00 AM,2023,8,27,15151,CHIQUINQUIRA,56224880219,-738042449951,2,327,229,2750.85
08/24/2023 12:00:00 AM,2023,8,24,15151,CHIQUINQUIRA,56224880219,-738042449951,2,361,268,3091.54
08/17/2023 12:00:00 AM,2023,8,17,15151,CHIQUINQUIRA,56224880219,-738042449951,1,362,258,3093.72
08/21/2023 12:00:00 AM,2023,8,21,15152,DUITAMA,58906025887,-730670928955,2,150,120,1505.17
08/12/2023 12:00:00 AM,2023,8,12,15150,TUNJA,55184726715,-733780212402,2,418,284,4253.58
08/27/2023 12:00:00 AM,2023,8,27,15152,DUITAMA,58906025887,-730670928955,2,174,125,1969.85
08/15/2023 12:00:00 AM,2023,8,15,15150,TUNJA,55184726715,-733780212402,2,411,293,4363.63
08/02/2023 12:00:00 AM,2023,8,2,15150,TUNJA,55184726715,-733780212402,2,415,308,4555.99
